loan_id,reporting_date,date_of_birth,age_years,age_band,duration,total_income,avg_monthly_income,avg_monthly_income_band,payment_due_date,days_past_due,risk_category,date,customer_age,total_paid,total_due_today,balance,closing_balance,advance,balance_due_to_date,arrears,balance_due_status,payment,expected_payment,first_payment,first_expected_payment,account_status_l1,account_status_l2,return_date,sale_date,credit_check_done,payment_amount,adjustment_amount,prepayment_amount,deposit,weekly_rate,credit_expiry,next_invoice_date,discount,overpayment_amount,max_payment_date,initial_pay,total_paid_with_adjustments_15d,snapshot_date_from_credit_file,source_file,unnamed_28,credit_snapshot_date,createdat_utc,received,persons_received_from_total,banks_received,paybills_received_others,income_record_count
recLpYVKzRZsWD2PM,2025-01-01,,,,,,,,2024-05-29,217,Critical,1/1/2025,224,9819,52059.0,67320.0,67320.0,0.0,-42240.0,42240.0,Arrears,0,1320.0,0,0,First Payment Default,FPD,,5/22/2024,Y LOAN,,,0,8499.0,1320.0,5/29/2024,1/8/2025,0.0,0.0,5/22/2024,9819,9819,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recY3Wsdw3uj9eaCN,2025-01-01,,,,,,,,2024-09-12,111,Critical,1/1/2025,174,10529,21249.0,28810.0,28810.0,0.0,-10720.0,10720.0,Arrears,0,0.0,0,0,Write Off,PAR 30,,7/11/2024,Y LOAN,,,0,4499.0,670.0,9/12/2024,1/2/2025,0.0,0.0,9/9/2024,5169,10529,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
rec5xEMcZO6gTSBWo,2025-01-01,,,,,,,,2024-09-21,102,Critical,1/1/2025,179,21319,37659.0,46500.0,46500.0,0.0,-16340.0,16340.0,Arrears,0,0.0,0,0,Write Off,PAR 30,,7/6/2024,Y LOAN,,,0,7499.0,1160.0,9/21/2024,1/4/2025,0.0,0.0,9/21/2024,8659,21319,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
rect7itGC8L46KXfx,2025-01-01,,,,,,,,2024-10-25,68,Critical,1/1/2025,89,13200,27199.0,68599.0,68599.0,0.0,-13999.0,13999.0,Arrears,0,0.0,0,0,First Month Default with inventory,Return,10/18/2024,10/4/2024,Y LOAN,,,0,8999.0,1400.0,10/25/2024,1/3/2025,0.0,0.0,10/15/2024,10399,13200,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recu2KxNY73JuzsGV,2025-01-01,,,,,,,,2025-01-01,0,Medium,1/1/2025,391,89839,89939.0,0.0,0.0,0.0,-100.0,100.0,Arrears,0,0.0,0,0,Paid Off Loan,Paid Off,,12/7/2023,Y LOAN,,,0,13499.0,1470.0,11/28/2024,1/2/2025,100.0,0.0,11/28/2024,14969,89839,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
rec8VUZ2XE8CONjv2,2025-01-01,,,,,,,,2025-01-01,0,Medium,1/1/2025,221,24414,27859.0,18045.0,0.0,0.0,-3445.0,3445.0,Arrears,0,0.0,0,0,Existing Active,Active,,5/25/2024,Y LOAN,,,0,4499.0,730.0,11/30/2024,1/4/2025,0.0,0.0,7/15/2025,5229,24414,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recEet7wfJ1ANVCa8,2025-01-01,1988-09-19 21:00:00+00:00,36.3,36-45,,,,,2024-12-23,9,Critical,1/1/2025,16,6839,8719.0,47940.0,47940.0,0.0,-1880.0,1880.0,Arrears,0,0.0,0,0,First Payment Default,FPD,,12/16/2024,Y LOAN,,,0,5899.0,940.0,12/23/2024,1/6/2025,0.0,0.0,12/16/2024,6839,6839,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,2024-12-14 12:01:39.403000+00:00,,,,,
recEvDEqXGTzndVa8,2025-01-01,,,,,,,,2024-12-27,5,Medium,1/1/2025,166,35239,35339.0,32580.0,32580.0,0.0,-100.0,100.0,Arrears,0,0.0,0,0,Inactive 01-07,Inactive,,7/19/2024,Y LOAN,,,0,7499.0,1160.0,12/27/2024,1/3/2025,0.0,0.0,5/6/2025,8659,35239,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recRR37eSyyS45rXp,2025-01-01,,,,,,,,2023-12-18,380,Critical,1/1/2025,457,12429,40899.0,28470.0,28470.0,0.0,-28470.0,28470.0,Arrears,0,0.0,0,0,Write Off,PAR 30,,10/2/2023,Y LOAN,,,0,4499.0,700.0,12/18/2023,1/6/2025,0.0,0.0,1/6/2024,5199,12429,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
reccfdnWLnQMIGMmQ,2025-01-01,,,,,,,,2024-08-12,142,Critical,1/1/2025,401,60949,81199.0,20250.0,20250.0,0.0,-20250.0,20250.0,Arrears,0,0.0,0,0,Write Off,PAR 30,,11/27/2023,Y LOAN,,,0,10999.0,1350.0,8/12/2024,1/6/2025,0.0,0.0,8/5/2024,12349,60949,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recBSzfIS7cltHSFc,2025-01-01,,,,,,,,,0,Low,1/1/2025,137,22999,23099.0,28160.0,28160.0,0.0,0.0,0.0,up to date,0,0.0,0,0,Existing Active,Active,,8/17/2024,Y LOAN,,,0,5499.0,880.0,1/4/2025,1/4/2025,0.0,0.0,10/20/2025,6379,23099,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recqMKdQs6nE2smeD,2025-01-01,1994-11-16 21:00:00+00:00,30.1,26-35,,,,,,0,Low,1/1/2025,19,19879,19769.0,82700.0,0.0,110.0,110.0,0.0,advance,0,0.0,0,0,New Active,Active,,12/13/2024,Y LOAN,,,0,14699.0,1690.0,1/3/2025,1/3/2025,0.0,0.0,12/5/2025,16389,19879,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,2024-12-13 12:32:32.059000+00:00,,,,,
reclr4YuwebSWfJnc,2025-01-01,,,,,,,,2025-01-01,0,Medium,1/1/2025,201,27809,27909.0,18270.0,0.0,0.0,-100.0,100.0,Arrears,0,0.0,0,0,Existing Active,Active,,6/14/2024,Y LOAN,,,0,4999.0,790.0,12/27/2024,1/3/2025,0.0,0.0,6/6/2025,5789,27809,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recY7ER5Bmy3Rdwk8,2025-01-01,,,,,,,,2023-05-02,610,Critical,1/1/2025,617,5200,40899.0,35699.0,35699.0,0.0,-35699.0,35699.0,Arrears,0,0.0,0,0,Lost Write Off,PAR 30,,4/25/2023,Y LOST,,,0,4499.0,700.0,5/2/2023,1/7/2025,0.0,0.0,4/25/2023,5199,5200,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recFcthRcCx4fsZtl,2025-01-01,,,,,,,,2024-01-19,348,Critical,1/1/2025,432,24979,71359.0,46380.0,46380.0,0.0,-46380.0,46380.0,Arrears,0,0.0,0,0,Write Off,PAR 30,,10/27/2023,Y LOAN,,,0,9999.0,1180.0,1/19/2024,1/3/2025,0.0,0.0,7/29/2024,11179,24979,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recAaQKOktQ00ErHK,2025-01-01,,,,,,,,2024-02-02,334,Critical,1/1/2025,439,16549,45039.0,28490.0,28490.0,0.0,-28490.0,28490.0,Arrears,0,0.0,0,0,Write Off,PAR 30,,10/20/2023,Y LOAN,,,0,4999.0,770.0,2/2/2024,1/3/2025,0.0,0.0,1/26/2024,5769,16549,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recynDKc8wR0xrouF,2025-01-01,,,,,,,,,0,Low,1/1/2025,119,17999,17999.0,0.0,0.0,0.0,0.0,0.0,up to date,0,0.0,0,0,Paid Off Cash,Paid Off,,9/4/2024,Y CASH,,,0,3599.0,560.0,9/11/2024,1/8/2025,0.0,0.0,9/4/2024,17999,17999,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
